"","id","nsib79","afqtrev","urban14","male","mfinc1617","black","hisp","mhsgrad","mscoll","fhsgrad","fscoll","intact","mfinc1617q1","mfinc1617q2","mfinc1617q3","mfinc1617q4","mfinc1617q","afqtq1","afqtq2","afqtq3","afqtq4","afqtq","momageatbirth","dob62","dob63","dob64","hgc2122","hga2122","Dhgacoll2122","Dhgacoll2223","Dhgacoll2324","Dhgchs2122","Dhgchs2223","Dhgchs2324","fedmiss"
"50",146,3,84,1,1,5.05486784140969,0,0,1,0,1,0,1,0,0,1,0,3,0,0,0,1,4,21,0,0,1,12,13,1,1,1,1,1,1,0
"51",147,0,25,0,0,5.81113585746102,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,2,32,0,0,0,14,14,1,1,1,1,1,1,0
"52",148,2,65,1,1,6.0035797938967,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,3,18,0,1,0,12,12,0,0,0,1,1,1,0
"53",149,2,29,1,0,6.09980176211454,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,2,19,0,0,1,12,12,0,0,0,1,1,1,0
"54",152,2,92,1,0,9.24498886414254,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,1,4,25,0,0,0,12,12,0,1,1,1,1,1,0
"55",155,3,35,1,1,4.02195066079295,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0,2,24,0,1,0,9,10,0,0,0,0,0,0,0
"56",157,2,47,1,0,11.7384944320713,0,0,1,0,1,1,1,0,0,0,1,4,0,0,1,0,3,26,1,0,0,14,14,1,1,1,1,1,1,0
"57",161,3,31,1,0,4.49042316258352,0,0,NA,NA,0,0,1,0,1,0,0,2,0,1,0,0,2,28,0,0,0,12,12,0,0,0,1,1,1,0
"58",162,2,98,1,1,6.33942093541203,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,38,0,0,0,15,16,1,1,1,1,1,1,0
"59",163,2,77,1,1,6.72771046770601,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,36,1,0,0,16,16,1,1,1,1,1,1,0
"60",166,3,57,1,1,5.28285077951002,0,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,3,33,1,0,0,12,12,0,0,0,1,1,1,0
"61",168,4,21,1,1,1.02328819599109,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,32,0,0,0,13,14,1,1,1,1,1,1,0
"62",169,4,17,1,0,1.02328819599109,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,34,0,1,0,14,15,1,1,1,1,1,1,0
"63",173,2,56,1,1,1.32071269487751,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,20,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"64",185,3,48,1,1,11.7812064739413,0,0,1,0,1,0,1,0,0,0,1,4,0,0,1,0,3,28,0,0,1,12,12,0,0,0,1,1,1,0
"65",187,2,42,1,1,8.46679083658217,0,0,1,0,1,0,1,0,0,0,1,4,0,0,1,0,3,30,0,0,1,14,14,1,1,1,1,1,1,0
"66",190,2,73,1,0,6.86770601336303,0,0,1,1,1,1,1,0,0,1,0,3,0,0,1,0,3,30,0,0,0,15,16,1,1,1,1,1,1,0
"67",191,2,73,1,1,7.59928193832599,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,1,4,31,0,1,0,15,16,1,1,1,1,1,1,0
"68",192,1,72,1,0,5.48276828193833,0,0,1,0,1,0,1,0,0,1,0,3,0,0,0,1,4,38,0,1,0,15,16,1,1,1,1,1,1,0
"69",194,1,53,1,1,6.63099041533546,0,0,1,0,1,0,1,0,0,1,0,3,0,0,1,0,3,26,0,0,1,14,14,1,1,1,1,1,1,0
"70",196,1,91,1,1,6.63099041533546,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,26,0,0,1,15,16,1,1,1,1,1,1,0
"71",197,3,15,1,0,5.08078173719376,0,0,0,0,1,0,1,0,0,1,0,3,1,0,0,0,1,28,1,0,0,12,12,0,0,0,1,1,1,0
"72",198,1,63,1,1,8.16406872246696,0,0,1,1,1,1,1,0,0,0,1,4,0,0,1,0,3,24,0,1,0,14,15,1,1,1,1,1,1,0
"73",206,2,18,1,1,3.85172650334076,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,1,19,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"74",207,2,14,1,1,3.58360088105727,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,21,1,0,0,9,10,0,0,0,0,0,0,0
"75",210,2,53,1,1,5.84362538975501,0,0,1,0,1,0,1,0,0,1,0,3,0,0,1,0,3,21,1,0,0,15,16,1,1,1,1,1,1,0
"76",211,2,64,0,0,7.38193568281938,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,1,4,24,0,0,1,14,15,1,1,1,1,1,1,0
"77",213,3,99,1,1,9.488,0,0,1,0,1,1,1,0,0,0,1,4,0,0,0,1,4,27,1,0,0,14,15,1,1,1,1,1,1,0
"78",214,3,54,0,1,11.3674121405751,0,0,1,0,1,1,1,0,0,0,1,4,0,0,1,0,3,27,0,0,1,13,13,1,1,1,1,1,1,0
"79",220,1,89,1,0,14.5278396436526,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,1,4,39,0,0,0,15,16,1,1,1,1,1,1,0
"80",221,6,2,1,0,2.75799859030837,1,0,NA,NA,NA,NA,0,1,0,0,0,1,1,0,0,0,1,21,0,0,1,8,8,0,0,0,0,0,0,1
"81",222,6,1,1,1,2.27162583518931,1,0,0,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,18,0,0,0,9,9,0,0,0,0,0,0,1
"82",223,6,3,1,1,2.10383509844098,1,0,NA,NA,NA,NA,0,1,0,0,0,1,1,0,0,0,1,19,1,0,0,9,10,0,0,0,0,0,0,1
"83",230,2,29,0,1,9.98454391915666,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,34,0,0,1,12,13,1,1,1,1,1,1,0
"84",232,3,55,0,1,7.66013363028953,0,0,0,0,1,1,1,0,0,0,1,4,0,0,1,0,3,30,0,0,0,14,14,1,1,1,1,1,1,0
"85",233,3,19,1,1,7.29943097211862,0,0,0,0,1,1,1,0,0,0,1,4,0,1,0,0,2,30,0,0,1,12,12,0,0,0,1,1,1,0
"86",234,7,27,0,1,1.32071269487751,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,36,0,0,0,12,13,1,1,1,1,1,0,0
"87",235,3,62,0,1,4.744,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,0,3,24,0,1,0,15,16,1,1,1,1,1,1,0
"88",236,1,63,0,0,7.92427616926503,0,0,0,0,1,0,1,0,0,0,1,4,0,0,1,0,3,41,0,0,0,13,14,1,1,1,1,1,1,0
"89",240,6,46,1,0,3.09971269487751,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,24,1,0,0,12,12,0,0,0,1,1,1,0
"90",241,6,17,1,1,1.26572211510042,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,30,0,0,1,9,10,0,0,0,0,0,0,0
"91",245,3,85,0,0,6.97412904231626,0,0,1,1,1,0,1,0,0,1,0,3,0,0,0,1,4,36,1,0,0,14,14,1,1,1,1,1,1,0
"92",246,3,80,0,1,8.65032872246696,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,1,4,37,0,0,1,14,15,1,1,1,1,1,1,0
"93",248,4,13,1,1,1.84899777282851,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,24,0,0,0,8,9,0,0,0,0,0,0,0
"94",249,4,39,1,0,1.66586748641425,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2,25,0,1,0,10,11,0,0,0,0,0,0,0
"95",255,4,42,1,0,4.44736792873051,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,24,1,0,0,12,12,0,0,0,1,1,1,0
"96",256,2,51,1,0,4.75456570155902,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,25,0,0,0,12,12,0,0,0,1,1,1,0
"97",257,2,40,1,1,3.92310925954596,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,26,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"98",261,3,70,1,1,7.96005427616926,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,4,41,0,1,0,12,13,1,1,1,1,1,1,0
"99",263,4,41,1,1,5.54699331848552,0,0,1,0,1,0,1,0,0,1,0,3,0,1,0,0,2,27,1,0,0,12,12,0,0,0,1,1,1,0
"100",265,0,95,1,0,9.16970824053452,0,0,1,0,NA,NA,0,0,0,0,1,4,0,0,0,1,4,21,1,0,0,15,16,1,1,1,1,1,1,1
"101",271,3,39,1,0,3.98443653150554,0,0,1,0,1,1,1,0,1,0,0,2,0,0,1,0,3,33,0,0,1,14,15,1,1,1,1,1,1,0
"102",275,6,62,1,0,1.40304914363457,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,3,25,0,1,0,12,13,1,1,1,1,1,1,0
"103",276,1,44,1,0,4.75456570155902,0,0,1,0,1,1,1,0,1,0,0,2,0,1,0,0,2,33,0,0,0,12,12,0,0,0,1,1,1,0
"104",279,1,51,1,1,7.09698173719376,0,0,1,0,1,1,1,0,0,0,1,4,0,0,1,0,3,27,1,0,0,12,12,0,0,0,1,1,1,0
"105",281,3,81,1,1,6.60356347438753,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,23,0,0,0,15,16,1,1,1,1,1,1,0
"106",282,3,79,1,0,7.80826872246696,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,1,4,25,0,1,0,15,16,1,1,1,1,1,1,0
"107",285,5,13,1,0,7.66013363028953,0,1,0,0,1,0,1,0,0,0,1,4,1,0,0,0,1,25,0,0,0,10,11,0,0,0,0,0,0,0
"108",286,5,51,1,0,3.42290974089035,0,1,NA,NA,1,0,1,0,1,0,0,2,0,0,1,0,3,26,0,0,1,14,15,1,1,1,1,1,1,0
"109",289,4,23,1,0,3.9138,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,32,1,0,0,12,12,0,0,0,1,1,1,0
"110",294,3,53,1,0,5.28285077951002,0,0,1,0,1,1,1,0,0,1,0,3,0,0,1,0,3,38,0,0,0,12,12,0,0,NA,1,1,NA,0
"111",298,4,8,1,0,1.17257886872247,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,23,0,0,1,12,12,0,1,1,1,1,1,0
"112",299,4,11,1,1,1.26681282494432,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,22,1,0,0,11,12,0,0,0,0,0,0,0
"113",300,2,2,1,1,1.056570155902,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,30,0,0,0,10,11,0,0,0,0,0,0,0
"114",301,5,22,1,1,1.79616926503341,0,1,0,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,18,0,0,0,12,12,0,0,0,1,1,1,1
"115",303,6,5,1,1,1.39106828193833,0,1,0,0,NA,NA,1,1,0,0,0,1,1,0,0,0,1,21,0,1,0,12,12,0,0,0,1,1,1,1
"116",304,5,3,1,1,1.06993888896708,0,1,0,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,22,0,0,1,11,12,0,0,0,0,0,0,1
"117",305,1,31,0,0,0.639462672605791,0,1,0,0,NA,NA,0,1,0,0,0,1,0,1,0,0,2,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"118",311,4,15,0,1,6.16611166626789,0,0,NA,NA,1,0,1,0,0,1,0,3,1,0,0,0,1,34,0,0,1,12,12,0,0,0,1,1,1,0
"119",312,3,49,0,0,4.38001158129176,0,0,NA,NA,0,0,1,0,1,0,0,2,0,0,1,0,3,24,1,0,0,12,12,0,0,0,1,1,1,0
"120",313,3,27,1,1,4.22466784140969,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,24,0,1,0,11,12,0,0,0,0,0,0,0
"121",315,2,4,1,1,4.5756337701088,0,0,NA,NA,0,0,0,0,1,0,0,2,1,0,0,0,1,25,0,0,1,10,11,0,0,0,0,0,0,0
"122",318,2,13,1,1,8.47180176211454,0,0,1,0,1,0,1,0,0,0,1,4,1,0,0,0,1,34,0,1,0,12,12,0,0,0,1,1,1,0
"123",324,3,7,1,1,7.92427616926503,0,0,1,0,1,0,1,0,0,0,1,4,1,0,0,0,1,25,1,0,0,9,9,0,0,0,0,0,0,0
"124",325,3,61,1,1,3.78913738019169,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,1,4,32,0,0,1,15,15,1,1,1,1,1,1,0
"125",329,3,8,1,1,0.526646696035242,0,1,1,0,NA,NA,1,1,0,0,0,1,1,0,0,0,1,23,0,0,1,8,9,0,0,NA,0,0,NA,1
"126",331,10,2,0,1,1.30275100222717,0,1,0,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,25,0,0,0,9,10,0,0,0,0,0,0,1
"127",332,5,27,1,1,1.081632,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,20,0,1,0,9,10,0,0,0,0,0,0,0
"128",340,6,14,1,0,1.5040276169265,1,0,1,0,NA,NA,0,1,0,0,0,1,1,0,0,0,1,23,1,0,0,12,12,0,0,0,1,1,1,1
"129",342,3,96,1,1,4.49861158129176,0,0,1,0,1,1,1,0,1,0,0,2,0,0,0,1,4,41,0,1,0,14,15,1,1,1,1,1,1,0
"130",345,0,51,1,0,4.67085462555066,1,0,1,1,1,1,0,0,1,0,0,2,0,0,1,0,3,35,0,1,0,14,15,1,1,1,1,1,1,0
