"","id","hisp","age97","momageatbirth","age98","age99","age00","age01","age02","age03","male","white","black","intact97","afqtq","afqt1","afqt2","afqt3","afqt4","cvhhlt18","msa12","hhinccat","hhinccat1","hhinccat2","hhinccat3","hhinccat4","hhnetworthcat","hhnetworthcat1","hhnetworthcat2","hhnetworthcat3","hhnetworthcat4","age04","b1980","b1981","b1982","b1983","b1984","Dhgacoll2122","Dhgc12_2122","momhs2","momcoll2","other"
"3143",4049,0,16,25,18,18,19,20,21,22,0,1,0,1,3,0,0,1,0,2,1,3,0,0,1,0,NA,NA,NA,NA,NA,24,0,1,0,0,0,1,1,1,0,0
"3144",4050,0,16,21,18,19,20,21,22,23,1,1,0,0,4,0,0,0,1,3,1,3,0,0,1,0,2,0,1,0,0,24,1,0,0,0,0,0,1,1,0,0
"3145",4051,0,15,NA,17,18,19,20,21,22,1,1,0,0,2,0,1,0,0,3,1,3,0,0,1,0,2,0,1,0,0,23,0,1,0,0,0,0,1,1,0,0
"3146",4052,0,16,19,18,19,20,21,22,23,0,1,0,0,2,0,1,0,0,1,NA,4,0,0,0,1,2,0,1,0,0,24,1,0,0,0,0,0,1,0,0,0
"3147",4053,0,16,NA,17,19,20,21,22,23,0,1,0,1,4,0,0,0,1,3,1,1,1,0,0,0,1,1,0,0,0,24,1,0,0,0,0,1,1,NA,NA,0
"3148",4054,1,16,19,17,18,19,20,21,22,1,0,0,0,2,0,1,0,0,4,NA,2,0,1,0,0,2,0,1,0,0,23,0,1,0,0,0,1,1,1,1,0
"3149",4055,1,15,20,16,17,18,19,20,21,0,0,0,0,1,1,0,0,0,4,1,2,0,1,0,0,2,0,1,0,0,22,0,0,1,0,0,0,1,1,1,0
"3150",4057,0,15,21,17,18,19,20,21,NA,1,1,0,1,3,0,0,1,0,3,1,3,0,0,1,0,3,0,0,1,0,23,0,1,0,0,0,0,1,1,0,0
"3151",4058,1,14,22,16,17,18,19,20,21,0,0,0,1,2,0,1,0,0,3,1,3,0,0,1,0,3,0,0,1,0,22,0,0,1,0,0,1,1,1,0,0
"3152",4059,0,12,35,14,15,16,17,18,19,1,1,0,1,1,1,0,0,0,1,1,3,0,0,1,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,0,0,0
"3153",4060,0,13,24,15,16,17,18,19,20,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,21,0,0,0,1,0,0,1,0,0,0
